Ticker,Environmental,Governance,Social,ESG Score,Environmental Weight,Governance Weight ,Social weight,,,,,,,,,,,,,,,,,,,,
BF/B UN Equity,4.12,6.84,4.49,15.46,0.27,0.44,0.29,,,,,,,,,,,,,,,,,,,,
BG UN Equity,3.48,8.86,5.67,18.01,0.19,0.49,0.31,,,,,,,,,,,,,,,,,,,,
BIIB UW Equity,7.17,7.56,5.72,20.44,0.35,0.37,0.28,,,,,,,,,,,,,,,,,,,,
BK UN Equity,1.37,8.77,4.36,14.50,0.09,0.60,0.30,,,,,,,,,,,,,,,,,,,,
BKNG UW Equity,5.86,8.47,2.15,16.49,0.36,0.51,0.13,,,,,,,,,,,,,,,,,,,,
BKR UW Equity,3.76,7.28,5.60,16.63,0.23,0.44,0.34,,,,,,,,,,,,,,,,,,,,
BLDR UN Equity,2.98,6.50,4.88,14.36,0.21,0.45,0.34,,,,,,,,,,,,,,,,,,,,
BLK UN Equity,4.26,6.92,6.23,17.41,0.24,0.40,0.36,,,,,,,,,,,,,,,,,,,,
BMY UN Equity,6.85,8.13,5.31,20.29,0.34,0.40,0.26,,,,,,,,,,,,,,,,,,,,
BR UN Equity,3.18,8.19,2.50,13.87,0.23,0.59,0.18,,,,,,,,,,,,,,,,,,,,
BRK/B UN Equity,0.00,5.17,1.12,6.29,0.00,0.82,0.18,,,,,,,,,,,,,,,,,,,,
BRO UN Equity,0.00,6.38,5.69,12.07,0.00,0.53,0.47,,,,,,,,,,,,,,,,,,,,
